source,target
¿De qué trata el video?,Imataq videopi willakun?
El video habla de energía.,Videoqa energía mamanta rimarin.
¿Qué es la inteligencia artificial?,¿Imataq inteligencia artificial nisqa?
La IA puede aprender por sí misma.,IAqa kikinta yachayta atin.
Los robots usan inteligencia artificial.,Robotkunaqa inteligencia artificialta llamk'achinku.
¿Cómo funciona el aprendizaje automático?,¿Imanötaq aprendizaje automático llamk'achkan?
Los datos son el alimento de la IA.,Datokunaqa IApq mikhuninmi.
¿La IA será más lista que los humanos?,¿IAqa runakunamanta aswan listachö kanqachu?
La red neuronal imita al cerebro.,Red neuronalqa ñututa imitan.
El algoritmo resuelve problemas complejos.,Algoritmuqa sasachakuykunata allichan.
¿Qué es el procesamiento de lenguaje natural?,¿Imataq procesamiento de lenguaje natural nisqa?
La máquina reconoce imágenes.,Makinaka rikch'akunata riqsirin.
La visión por computadora permite ver.,Computadora qhawariyqa qhawanata saqen.
Los coches autónomos usan IA.,Kuyuq antawakunaqa IAta llamk'achinku.
La IA diagnostica enfermedades.,IAqa unquykunata hampinanpaq chaninchankun.
Los asistentes virtuales son útiles.,Asistente virtualkunaqa yanapakuqmi.
¿La IA puede ser creativa?,¿IAqa creativo kanmanchu?
El big data es muy importante.,Big dataqa ancha importanteñam.
Aprendizaje profundo para tareas difíciles.,Deep learningqa sasachakuy llamk'akunapaq.
La IA mejora la agricultura.,IAqa allpachakuyta allinchán.
Los chatbots atienden a clientes.,Chatbotkunaqa clientekunata yanapanku.
¿La IA reemplazará muchos trabajos?,¿IAqa achka llamk'aykunata hich'ananchu?
La ética en IA es fundamental.,Ética IApiqa fundamentalmi.
Los sistemas expertos deciden.,Sistema expertoqa kamachikun.
Reconocimiento facial para seguridad.,Uywa riqsiyqa seguridadpaq.
La IA traduce idiomas al instante.,IAqa simikunata k'itimantan t'ikran.
Predicción del clima con IA.,Pacha forecastqa IAwan.
Recomendaciones personalizadas.,Kikinman ajuste nisqa rimanakuy.
La IA juega al ajedrez.,IAqa ajedrez pukllan.
Detección de fraudes financieros.,Chanta spiaq riqsiy qullqi.
La IA en los teléfonos móviles.,IAqa llika phonekunapi.
Generación de texto automático.,Kikinchasqa qillqa kamariy.
¿Qué es un modelo de IA?,¿Imataq IA modelu nisqa?
Entrenar un modelo con datos.,Modeluta datokunawan yachachiy.
Sesgo en los algoritmos.,Algoritmukunapi mana chaninchu.
La IA en la exploración espacial.,IAqa pachakawpi puriypi.
Robótica e inteligencia artificial.,Robot yachaywan inteligencia artificial.
La IA comprende comandos de voz.,IAqa rimay kamachikunata hap'inqa.
Procesar grandes volúmenes de datos.,Hatun datokunata procesay.
La IA optimiza recursos.,IAqa recurso kunata allichan.
Simulación de escenarios reales.,Cheqaq escenariokunata rikuchiy.
La IA en la industria manufacturera.,IAqa llamk'ay ruruchakuypi.
Vigilancia con inteligencia artificial.,Qhawachiq inteligencia artificialwan.
Veo películas sugeridas por IA.,IAwan willasqa kuyu walltayta qhawani.
¿La IA tiene sentimientos?,¿IAqa wayllukuyyuqchu?
Filtro de spam en el correo.,Ch'usaq willakuy filtro correopi.
Asistente para programar citas.,Yanapakuq encuentro kamachinanpaq.
Reconocimiento de gestos.,Uywa chaninchan riqsiy.
La IA ayuda en la investigación.,IAqa mask'aypi yanapan.
Conducción automática en ciudades.,Kuyuq antawa llaktakunapi.
Análisis de sentimientos en redes.,Wayllukuy chaninchasqa llikakunapi.
Crear arte con inteligencia artificial.,Inteligencia artificialwan llimphi ruruy.
El futuro de la inteligencia artificial.,Inteligencia artificialpa qhepa p'unchawnin.
¿Qué es una red neuronal?,¿Imataq red neuronal nisqa?
Las neuronas artificiales imitan a las biológicas.,Neurona artificialkunaqa biológicas kunkunata imitanku.
¿Cómo se entrena una red neuronal?,¿Imanötaq red neuronal yachachisqa?
El aprendizaje profundo usa muchas capas.,Deep learningqa achka capakunata llamk'achin.
La propagación hacia adelante calcula la salida.,Ñawpaqman propagaciónqa lluqsiyta calculan.
El error se propaga hacia atrás.,Pantasqaqa qhipaman propagakun.
La función de activación decide si se enciende.,Activación funciónqa hayk'apuni nisqata decidin.
¿Qué es una capa oculta?,¿Imataq capa oculta nisqa?
Las conexiones tienen pesos sinápticos.,Tinkikunaqa peso sináptico niyuqmi.
El sesgo ajusta el umbral de activación.,Sesgoqa activación umbralta ajustan.
Redes neuronales convolucionales para imágenes.,Red neuronal convolucional rikch'akunapaq.
El pooling reduce la dimensionalidad.,Poolingqa dimensionalidadta pisirachin.
Redes recurrentes para datos secuenciales.,Red recurrente secuencia datokunapaq.
Las memorias LSTM recuerdan a largo plazo.,LSTMqa unay pachata yarpachan.
El sobreajuste es un problema común.,Overfittingqa común sasachakuymi.
La regularización previene el sobreajuste.,Regularizaciónqa overfittingta hark'an.
Dropout apaga neuronas aleatoriamente.,Dropoutqa neuronakunata random apagan.
La tasa de aprendizaje es crucial.,Learning rateqa ancha importantemi.
¿Qué es el descenso de gradiente?,¿Imataq gradiente descenso nisqa?
El gradiente muestra la dirección de ajuste.,Gradienteqa ajuste direcciónta rikuchin.
Backpropagation ajusta los pesos.,Backpropagationqa pesokunata ajustan.
Una época es un paso completo de entrenamiento.,Epochaqa huk enteru entrenamiento pasomi.
El lotes procesa varios datos a la vez.,Batchqa achka datokunata kuskan procesan.
La normalización acelera el entrenamiento.,Normalizaciónqa entrenamientota usqhaychan.
Redes generativas adversariales crean datos nuevo.,GANkunaqa musuq datokunata kamarinku.
Los autoencoders comprimen datos.,Autoencoderqa datokunata comprimen.
Las capas densamente conectadas.,Denso capakunaqa totalmente t'inkisqami.
La función de pérdida mide el error.,Loss functionqa pantasqata tupachin.
La softmax para clasificación múltiple.,Softmaxqa achka clase clasificaciónpaq.
La ReLU es una activación popular.,ReLUqa popular activaciónmi.
El vanishing gradient problem.,Gradiente chinkapuy sasachakuy.
Redes de creencia profunda.,Deep belief networkkuna.
Las neuronas se activan con patrones.,Neuronakunaqa patrónkunawan activachkanku.
El perceptrón es la unidad básica.,Perceptrónqa básico unidadmi.
Multilayer perceptron para problemas complejos.,MLPqa sasachakuy llamk'akunapaq.
La convolución extrae características.,Convoluciónqa característicakuna horqon.
Los filtros detectan bordes y texturas.,Filtrokunaqa borde texturakunata tarinku.
La capa de salida da la predicción final.,Lluqsiy capaqa final predictanta qon.
La normalización por lotes estabiliza el entrenamiento.,Batch normqa entrenamiento estableta ruwan.
La inicialización de pesos es importante.,Peso inicializaciónqa importantemi.
Early stopping evita el sobreentrenamiento.,Early stoppingqa overfittingta hark'an.
La arquitectura de la red es su diseño.,Red arquitecturaqa diseñonmi.
Las conexiones residuales ayudan en redes profundas.,Residual connectionkuna hatun redkunapi yanapanku.
La atención mejora el procesamiento de secuencias.,Atenciónqa secuencia procesamientota allinchán.
Transformers usan autoatención.,Transformerkunaqa auto-atención llamk'achinku.
Embeddings representan palabras como vectores.,Embeddingkunaqa simikunata vector hinata representan.
La capa de embedding es la primera entrada.,Embedding capaqa primer entrada capan.
Las redes neuronales graph para datos estructurados.,Graph neural network estructura datokunapaq.
La propagación de mensajes en grafos.,Mensaje propagación grafikunapi.
Redes somáticas para agrupamiento.,SOMkunaqa tantachakupaqmi.
El mapa autoorganizado aprende patrones.,SOMqa patrónkunata yachan.
La competición entre neuronas.,Neurona competencia.
source,target
La inteligencia artificial transforma industrias.,Inteligencia artificialqa industria kunata transforman.
El machine learning aprende de la experiencia.,Machine learningqa experiencia mantam yachan.
